2026-09-17T01:32:09.799735	DEBUG	server/main.go:63	application time zone	{"zone": "Europe/Moscow"}
2026-09-17T01:32:09.799815	DEBUG	server/main.go:66	initializing postgres connection pool
2026-09-17T01:32:09.807028	DEBUG	server/main.go:74	initializing redis client
2026-09-17T01:32:09.809715	DEBUG	server/main.go:151	initializing http server
2026-09-17T01:32:09.809786	WARN	server/server.go:44	start HTTP server	{"addr": ":8080"}
2026-09-17T01:32:18.717083	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "50fade36-0acd-4bf8-a915-1b6e0eb79331", "url": "/api/v1/users/me", "http_method": "GET", "time": "2026-09-16T22:32:18.717081"}
2026-09-17T01:32:18.717182	WARN	response/handler.go:65	invalid access token	{"request_id": "50fade36-0acd-4bf8-a915-1b6e0eb79331", "url": "/api/v1/users/me", "error": "unauthorized"}
2026-09-17T01:32:18.717331	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "50fade36-0acd-4bf8-a915-1b6e0eb79331", "url": "/api/v1/users/me", "HTTP Response status code": 401, "latency": "250.625µs"}
2026-09-17T01:32:23.379900	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "76676c51-5a4c-4809-b220-4b1565467de2", "url": "/api/v1/auth/register", "http_method": "POST", "time": "2026-09-16T22:32:23.379899"}
2026-09-17T01:32:23.444200	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "76676c51-5a4c-4809-b220-4b1565467de2", "url": "/api/v1/auth/register", "HTTP Response status code": 201, "latency": "64.299542ms"}
2026-09-17T01:32:23.466503	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "6a4cb7c4-4753-4a48-895c-1ee684fe5e01", "url": "/api/v1/auth/login", "http_method": "POST", "time": "2026-09-16T22:32:23.466502"}
2026-09-17T01:32:23.513515	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "6a4cb7c4-4753-4a48-895c-1ee684fe5e01", "url": "/api/v1/auth/login", "HTTP Response status code": 200, "latency": "47.012333ms"}
2026-09-17T01:32:23.519919	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "990fc048-bc37-44bf-b4ac-4e783b37e0e8", "url": "/api/v1/auth/login", "http_method": "POST", "time": "2026-09-16T22:32:23.519919"}
2026-09-17T01:32:23.566210	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "990fc048-bc37-44bf-b4ac-4e783b37e0e8", "url": "/api/v1/auth/login", "HTTP Response status code": 200, "latency": "46.290209ms"}
2026-09-17T01:32:23.572359	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "e57eb190-716f-4786-8015-596a24fcc76c", "url": "/api/v1/auth/login", "http_method": "POST", "time": "2026-09-16T22:32:23.572357"}
2026-09-17T01:32:23.572856	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "e57eb190-716f-4786-8015-596a24fcc76c", "url": "/api/v1/auth/login", "HTTP Response status code": 401, "latency": "497.375µs"}
2026-09-17T01:32:23.578847	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "9e7dc878-c80a-4caf-9891-718fb4ac2016", "url": "/api/v1/tasks", "http_method": "POST", "time": "2026-09-16T22:32:23.578846"}
2026-09-17T01:32:23.581208	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "9e7dc878-c80a-4caf-9891-718fb4ac2016", "url": "/api/v1/tasks", "HTTP Response status code": 201, "latency": "2.361541ms"}
2026-09-17T01:32:23.594545	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "5b3b2ffc-5704-4667-8f1b-d4bc590f6355", "url": "/api/v1/tasks/febf0f4b-093b-49e4-8727-b73be77a0a5b/complete", "http_method": "PATCH", "time": "2026-09-16T22:32:23.594545"}
2026-09-17T01:32:23.599444	DEBUG	middleware/common.go:86	<<< done HTTP request	{"request_id": "5b3b2ffc-5704-4667-8f1b-d4bc590f6355", "url": "/api/v1/tasks/febf0f4b-093b-49e4-8727-b73be77a0a5b/complete", "HTTP Response status code": 200, "latency": "4.898417ms"}
2026-09-17T01:32:23.604883	DEBUG	middleware/common.go:78	>>> incoming HTTP request	{"request_id": "5f9df798-7711-4de2-b0a7-7118ac5aa16a", "url": "/api/v1/tasks/febf0f4b-093b-49e4-8727-b73be77a0a5b", "http_method": "PATCH", "time": "2026-09-16T22:32:23.604882"}
